ID;BUURT;CRIMES_2010;CRIMES_2011;CRIMES_2012;CRIMES_2013;CRIMES_2014;SAFETY_RATE_2014;CRIME_RATE_2014;GP_2013;GP_2014;GP_2015;PHARM_2014;PHARM_2015;RECR_TERR_2015;AGRI_TERR_2015;POP_2015;%NON-WEST_2015;%65PLUS_2015;%FAM_KIDS_2015;POP_2020;HOUS_2015;AVG_OCC_2015;AVG_SIZE_2015;AVG_HOUS_2015;%OWN_OCC_2015;AVG_LENGTH_STAY_2015;%LOW_INC_HOUS_2012;AVG_DISP_INC_2012;POP_0-3_2015;POP_4-12_2015;POP_13-17_2015;POP_18-22_2015;POP_23-24_2015;POP_25-49_2015;POP_50-64_2015;POP_65_2015;SURIN_2015;ANTIL_2015;TURK_2015;MAROK_2015;NON_WEST_IMM_2015;WEST_IMM_2015;AUTOCH_2015;LESS_1_RES_2015;TIME_1-4_RES_2015;TIME_5-9_RES_2015;TIME_10-14_RES_2015;TIME_15-19_RES_2015;TIME_20-24_RES_2015;PLUS_25_RES_2015;BIRTH_2010;BIRTH_2011;BIRTH_2012;BIRTH_2013;BIRTH_2014;DEATH_2010;DEATH_2011;DEATH_2012;DEATH_2013;DEATH_2014;BUSIN_2011;BUSIN_2012;BUSIN_2013;BUSIN_2014;BUSIN_2015;EMPLOY_2011;EMPLOY_2012;EMPLOY_2013;EMPLOY_2014;EMPLOY_2015;UNEMP_BEN_15-34_2015;UNEMP_BEN_35-54_2015;UNEMP_BEN_55-65_2015;SCHOOLS_2015;PROP_VALUE_*1000_2011;PROP_VALUE_*1000_2012;PROP_VALUE_*1000_2013;PROP_VALUE_*1000_2014;PROP_VALUE_*1000_2015;HOUSE_FOREC_2015;HOUSE_FOREC_2020;HOUSE_FOREC_2025;HOUSE_FOREC_2030;HOUSE_FOREC_2035;TOT_INHAB_ADD_2015;;;;;
A00;Burgwallen-Oude Zijde;3391;3430;3461;3944;3797;165;129;10;9;10;1;2;0,00;0,00;4262;14,3;8,0;9,0;4294;2839;1,50;2,4;274;18,6;5,9;39,1;1842;93;141;51;399;302;2255;678;343;77;38;35;31;610;1232;2420;550;1356;727;340;275;207;807;29;42;38;31;28;22;11;19;14;15;1509;1581;1633;1741;1842;8420;8399;8848;9125;9336;20;40;20;0;280;282;270;263;274;2839;2831;2831;2831;2831;2359;;;;;
A01;Burgwallen-Nieuwe Zijde;7123;7604;8071;8504;8111;182;149;2;1;1;0;0;0,00;0,00;4547;17,6;7,0;6,6;4689;3011;1,51;2,4;282;19,6;4,9;37,5;2297;96;126;56;382;309;2662;596;320;115;60;40;64;801;1345;2401;770;1532;808;367;261;217;592;33;29;31;31;33;6;13;15;9;16;2180;2245;2307;2328;2297;15729;15651;15729;15617;14429;30;60;30;0;291;290;277;268;282;3011;3055;3055;3055;3055;2490;;;;;
A02;Grachtengordel-West;1338;1390;1525;1454;1461;93;91;5;7;5;0;1;0,00;0,00;7060;9,2;15,4;13,0;7098;4669;1,51;2,7;503;39,9;7,7;24,3;2863;213;352;198;463;320;3018;1410;1086;73;51;46;14;649;2207;4204;855;1748;1069;664;624;435;1665;75;71;63;57;70;21;21;25;33;23;2555;2619;2677;2737;2863;9514;9580;9639;9378;9625;20;50;40;1;507;518;501;490;503;4669;4669;4669;4669;4669;3858;;;;;
A03;Grachtengordel-Zuid;2005;2340;2554;2746;2472;140;166;4;3;2;1;2;0,00;0,00;4409;10,0;14,6;14,6;4526;2698;1,63;3,1;492;41,4;7,7;21,7;1775;140;284;118;256;201;1958;810;642;48;19;44;22;443;1198;2768;536;1011;749;492;369;254;998;60;41;41;44;39;16;17;23;25;17;1638;1641;1680;1686;1775;7984;7933;9104;9149;9510;10;40;20;0;511;506;486;470;492;2698;2689;2689;2689;2689;2230;;;;;
A04;Nieuwmarkt/Lastage;1988;1937;1955;1998;2232;122;120;5;5;4;1;1;0.12;0,00;9539;13,1;14,3;14,0;9694;6034;1,58;2,7;304;27,2;8,5;32,1;2148;254;452;267;605;423;3886;2289;1363;262;70;80;76;1245;2387;5907;928;1900;1372;827;802;641;3069;69;77;63;68;78;60;57;51;55;64;1825;1905;1968;2032;2148;9025;10492;11166;10966;10935;40;100;90;2;305;309;306;295;304;6034;6171;6220;6220;6220;5623;;;;;
A05;Haarlemmerbuurt;1068;1075;963;1187;1198;96;89;3;3;2;1;1;1.07;0,00;9294;15,8;13,7;18,5;9466;5569;1,67;2,7;312;26,9;8,2;29,4;2077;397;604;285;429;264;3921;2119;1275;364;81;80;192;1473;2055;5766;695;1735;1558;929;862;663;2852;113;108;120;110;111;53;50;42;33;64;1772;1874;1943;2014;2077;5708;6218;6052;6715;7140;30;120;80;1;309;317;313;305;312;5569;5634;5634;5634;5634;5241;;;;;
A06;Jordaan;1817;2077;2044;2060;2208;100;97;6;6;6;3;2;0.95;0,00;19401;12,2;14,3;13,9;19899;12928;1,50;2,5;286;26,3;9,4;35,1;3861;646;976;457;966;706;8778;4097;2775;430;177;180;282;2361;4561;12479;1465;3861;3061;1794;1619;1221;6380;205;185;193;221;194;140;148;140;125;145;3340;3479;3631;3723;3861;8088;8117;8041;8300;8424;90;300;150;3;281;286;277;270;286;12928;13031;13072;13072;13072;11856;;;;;
A07;De Weteringschans;3588;3773;4247;4244;3792;143;181;7;7;7;1;1;4.96;0,00;7357;10,9;11,6;14,3;7552;4553;1,62;2,8;359;38,2;7,8;27,5;2117;270;427;163;477;340;3557;1269;854;114;59;67;40;803;1938;4616;753;1758;1311;737;623;440;1735;87;81;87;80;81;20;40;30;24;26;1938;1991;2033;2088;2117;11361;11577;11622;11072;11229;40;80;50;2;368;368;357;345;359;4553;4556;4556;4556;4556;4010;;;;;
A08;Weesperbuurt/Plantage;908;1025;993;870;1000;98;101;1;1;2;0;0;16.15;0,00;7603;15,1;14,1;13,3;7767;4207;1,81;2,7;319;30,2;7,8;32,4;1372;245;368;176;636;393;3265;1451;1069;281;57;46;113;1149;1755;4699;987;1778;1114;668;566;425;2065;71;65;92;85;76;183;164;177;149;158;1212;1247;1288;1313;1372;10327;9972;9749;9846;9998;30;90;60;1;315;320;312;307;319;4207;4214;4214;4214;4214;3968;;;;;
A09;Oostelijke Eilanden/Kadijken;1119;1316;1105;1004;949;85;85;7;7;7;2;1;8.09;0,00;12946;24,2;12,0;20,6;13370;7424;1,74;2,7;260;26,7;9,4;30,4;1879;493;910;439;819;496;5170;3067;1552;856;122;211;632;3130;2285;7531;1006;2269;1816;1308;1174;1018;4355;171;156;134;127;146;68;48;75;74;75;1534;1662;1712;1784;1879;5223;5105;5085;5130;5331;60;160;130;2;251;265;260;254;260;7424;7642;8018;8206;8394;7153;;;;;
